Transaction_date,Product,Price,Payment_Type,Name,City,State,Country,Account_Created,Last_Login,Latitude,Longitude
1/11/09 10:38,Product1,1200,Mastercard,AnaPaula,Helens Bay,Northern Ireland,United Kingdom,9/4/08 9:26,1/13/09 2:36,54.65,-5.7333333
1/13/09 5:57,Product1,1200,Visa,Robin,Milan,Lombardy,Italy,10/15/08 5:31,1/13/09 5:55,45.4666667,9.2
1/13/09 6:13,Product1,1200,Visa,Gitte,Staten Island               ,NY,United States,1/13/09 5:17,1/13/09 7:33,40.63667,-74.15917
1/8/09 13:14,Product1,1200,Visa,Dr. Claudia,Oslo,Oslo,Norway,1/8/09 12:47,1/13/09 10:49,59.9166667,10.75
1/2/09 11:41,Product1,1200,Visa,Crystal,Farmington,Michigan,United States,1/1/09 12:00,1/13/09 18:34,42.46444,-83.37639
1/7/09 19:50,Product1,1200,Diners,Delphine,Santa Monica                ,CA,United States,1/3/09 12:04,1/13/09 20:17,34.01944,-118.49028
1/1/09 20:28,Product1,1200,Visa,nathalie,Calgary,Alberta,Canada,1/1/09 20:11,1/13/09 21:11,51.0833333,-114.0833333
1/3/09 15:22,Product1,1200,Mastercard,Lindi,Vancouver,British Columbia,Canada,2/20/08 22:45,1/13/09 23:02,49.25,-123.1333333
1/12/09 3:03,Product2,3600,Mastercard,Valda,Irvine                      ,CA,United States,1/12/09 2:48,1/14/09 1:07,33.66944,-117.82222
1/5/09 8:58,Product2,3600,Mastercard,Marcia,Telgte,Nordrhein-Westfalen,Germany,9/1/08 3:39,1/14/09 2:07,52.3333333,7.9
1/10/09 14:03,Product1,1200,Mastercard,Kevin,Cheltenham,England,United Kingdom,3/13/06 4:56,1/14/09 2:22,51.9,-2.0833333
1/13/09 11:26,Product1,1200,Visa,Clare,Keller                      ,VA,United States,1/13/09 11:15,1/14/09 2:39,37.61917,-75.76417
1/2/09 12:18,Product1,1200,Visa,Alice,Nakskov,Storstrom,Denmark,12/5/07 11:37,1/14/09 4:05,54.8333333,11.15
1/14/09 4:54,Product1,1200,Mastercard,ZENA,Honolulu                    ,HI,United States,1/14/09 4:34,1/14/09 4:43,21.30694,-157.85833
1/6/09 17:15,Product1,1200,Visa,Andrea,Bubuieci,Chisinau,Moldova,12/24/08 17:31,1/14/09 10:27,46.985,28.9425
