Transaction_date,Product,Price,Payment_Type,Name,City,State,Country,Account_Created,Last_Login,Latitude,Longitude
1/18/09 11:34,Product2,3600,Visa,Cheryl,New Malden,England,United Kingdom,10/28/05 14:57,1/18/09 10:27,51.4166667,-0.25
1/18/09 4:38,Product1,1200,Visa,Doug,Bishop Auckland,England,United Kingdom,12/28/07 13:39,1/18/09 11:58,54.65,-1.6666667
1/18/09 13:26,Product3,7500,Mastercard,Julianne,Navan,Meath,Ireland,1/18/09 12:20,1/18/09 12:20,53.6527778,-6.6813889
1/18/09 11:53,Product1,1200,Visa,Shailesh,Joppa,MD,United States,1/18/09 0:00,1/18/09 12:23,39.43361,-76.35806
1/18/09 12:04,Product1,1200,Visa,Conrad,Joppa,MD,United States,1/18/09 0:00,1/18/09 12:23,39.43361,-76.35806
1/13/09 19:54,Product1,1200,Diners,Alison,Hampton                     ,NJ,United States,1/3/06 6:09,1/18/09 12:51,40.70694,-74.95639
1/5/09 21:06,Product1,1200,Mastercard,Tracy,Louisville                  ,KY,United States,1/5/09 16:27,1/18/09 13:58,38.25417,-85.75944
1/14/09 6:32,Product1,1200,Visa,Kate,Broadlands                  ,VA,United States,4/12/06 6:14,1/18/09 14:04,39.04361,-77.48778
1/4/09 23:48,Product1,1200,Diners,Sarka,Yellowknife,Northwest Territories,Canada,1/4/09 22:41,1/18/09 16:17,62.45,-114.35
1/18/09 16:32,Product2,3600,Visa,Therese,Los Angeles                 ,CA,United States,1/18/09 16:23,1/18/09 16:54,34.05222,-118.24278
1/18/09 17:04,Product2,3600,Visa,Abdul-L,New York                    ,NY,United States,1/18/09 16:58,1/18/09 16:58,40.71417,-74.00639
1/18/09 17:20,Product2,3600,Visa,heidi,Saint Paul                  ,MN,United States,1/18/09 17:16,1/18/09 17:16,44.94444,-93.09306
1/18/09 17:39,Product2,3600,Visa,jiyoung,New York                    ,NY,United States,1/18/09 17:34,1/18/09 17:34,40.71417,-74.00639
1/11/09 11:20,Product1,1200,Visa,Klara,Spring Lake Park            ,MN,United States,12/31/08 19:48,1/18/09 17:43,45.10778,-93.23778
1/13/09 20:59,Product1,1200,Mastercard,Andrew,Winnipeg,Manitoba,Canada,1/13/09 16:44,1/18/09 19:17,49.8833333,-97.1666667
1/12/09 16:50,Product1,1200,Visa,Vicki and Bill,Seattle                     ,WA,United States,1/4/09 21:33,1/19/09 1:22,47.60639,-122.33083
1/12/09 15:12,Product1,1200,Mastercard,David,Deptford                    ,NJ,United States,1/12/09 14:07,1/19/09 3:47,39.83806,-75.15306
1/6/09 12:27,Product1,1200,Mastercard,Antonella,Amsterdam,Noord-Holland,Netherlands,1/6/09 12:04,1/19/09 4:59,52.35,4.9166667
1/9/09 18:52,Product1,1200,Visa,David,Alpharetta                  ,GA,United States,11/25/08 7:56,1/19/09 6:12,34.07528,-84.29417
1/18/09 23:17,Product1,1200,Visa,Greg,Washington                  ,DC,United States,1/18/09 15:18,1/19/09 6:13,38.895,-77.03667
1/7/09 8:21,Product1,1200,Visa,Jannik ,Holmenkollen,Oslo,Norway,1/3/09 11:06,1/19/09 6:54,59.9666667,10.6666667
1/3/09 9:54,Product1,1200,Visa,Sylvia,Zekeriyakoy,Istanbul,Turkey,12/29/08 10:38,1/19/09 7:37,41.1980556,29.0302778
